,STATE,Year of Data,Total Revenue from Federal Sources
498,4,15,1064
499,4,15,488
500,4,15,2417
501,4,15,768
502,4,15,582
503,4,15,2254
504,4,15,2260
505,4,15,652
506,4,15,936
507,4,15,529
508,4,15,770
509,4,15,1828
510,4,15,6329
511,4,15,4303
512,4,15,2358
513,4,15,1531
514,4,15,1670
515,4,15,3279
516,4,15,480
517,4,15,816
518,4,15,4089
519,4,15,3424
520,4,15,763
521,4,15,4074
522,4,15,513
523,4,15,522
524,4,15,1542
525,4,15,1023
526,4,15,462
527,4,15,2948
528,4,15,495
529,4,15,683
530,4,15,800
531,4,15,2059
532,4,15,3884
533,4,15,1237
534,4,15,690
535,4,15,2042
536,4,15,607
537,4,15,1020
538,4,15,759
539,4,15,726
540,4,15,2501
541,4,15,901
542,4,15,2732
543,4,15,8052
544,4,15,2574
545,4,15,2045
546,4,15,649
547,4,15,3037
548,4,15,1251
549,4,15,1260
550,4,15,1126
551,4,15,1439
552,4,15,847
553,4,15,675
554,4,15,1315
555,4,15,776
556,4,15,3495
557,4,15,1830
558,4,15,1450
559,4,15,486
560,4,15,1856
561,4,15,771
562,4,15,1311
563,4,15,504
564,4,15,6916
565,4,15,685
566,4,15,808
567,4,15,1899
568,4,15,2592
569,4,15,1081
570,4,15,1022
571,4,15,815
572,4,15,999
573,4,15,9942
574,4,15,280
575,4,15,5021
576,4,15,1248
577,4,15,1071
578,4,15,2710
579,4,15,1579
580,4,15,1019
581,4,15,1177
582,4,15,1277
583,4,15,1102
584,4,15,1448
585,4,15,507
586,4,15,893
587,4,15,1411
588,4,15,1091
589,4,15,765
590,4,15,3594
591,4,15,964
592,4,15,513
593,4,15,646
594,4,15,1023
595,4,15,680
596,4,15,5305
597,4,15,1950
598,4,15,1399
599,4,15,1232
600,4,15,537
601,4,15,752
602,4,15,1694
603,4,15,833
604,4,15,948
605,4,15,2211
606,4,15,1100
607,4,15,1155
608,4,15,2359
609,4,15,1768
610,4,15,1126
611,4,15,1217
612,4,15,821
613,4,15,1171
614,4,15,4961
615,4,15,663
616,4,15,700
617,4,15,33089
618,4,15,11667
619,4,15,17215
620,4,15,700
621,4,15,1908
622,4,15,8556
623,4,15,1407
624,4,15,754
625,4,15,2108
626,4,15,3427
627,4,15,5658
628,4,15,687
629,4,15,3026
630,4,15,1237
631,4,15,18895
632,4,15,2509
633,4,15,509
634,4,15,494
635,4,15,768
636,4,15,1016
637,4,15,3416
638,4,15,991
639,4,15,1632
640,4,15,1391
641,4,15,2108
642,4,15,2130
643,4,15,5050
644,4,15,702
645,4,15,500
646,4,15,1155
647,4,15,788
648,4,15,2179
649,4,15,501
650,4,15,652
651,4,15,782
652,4,15,1529
653,4,15,9317
654,4,15,1232
655,4,15,2559
656,4,15,1446
657,4,15,35879
658,4,15,910
659,4,15,1049
660,4,15,1685
661,4,15,2832
662,4,15,670
663,4,15,902
664,4,15,2051
665,4,15,697
666,4,15,816
667,4,15,3401
668,4,15,1101
669,4,15,1382
670,4,15,804
671,4,15,1331
672,4,15,2572
673,4,15,825
674,4,15,1959
675,5,15,5283
676,5,15,269
677,5,15,1172
678,5,15,27259
679,5,15,1655
680,5,15,3971
681,5,15,2814
682,5,15,14116
683,5,15,1286
684,5,15,23645
685,5,15,37250
686,5,15,5303
687,5,15,6807
688,5,15,19035
689,5,15,3317
690,5,15,68013
691,5,15,9183
692,5,15,3679
693,5,15,2395
694,5,15,233404
695,5,15,11366
696,5,15,7670
697,5,15,0
698,5,15,652
699,5,15,5097
700,5,15,34653
701,5,15,2676
702,5,15,1177
703,5,15,41159
704,5,15,15032
705,5,15,3636
706,5,15,29418
707,5,15,15089
708,5,15,1566
709,5,15,64585
710,5,15,22821
711,5,15,941
712,5,15,65727
713,5,15,90242
714,5,15,24625
715,5,15,0
716,5,15,8989
717,5,15,19349
718,5,15,8792
719,5,15,63423
720,5,15,0
721,5,15,6827
722,5,15,12627
723,5,15,510
724,5,15,5020
725,5,15,12804
726,5,15,21172
727,5,15,43569
728,5,15,6920
729,5,15,4950
730,5,15,2126
731,5,15,59891
732,5,15,1891
733,5,15,37143
734,5,15,0
735,5,15,10458
736,5,15,5177
737,5,15,6216
738,5,15,6245
739,5,15,8331
740,5,15,5891
741,5,15,1531
742,5,15,25368
743,5,15,35
744,5,15,4331
745,5,15,64716
746,5,15,1182
747,5,15,7555
748,5,15,7224
749,5,15,9451
750,5,15,66
751,5,15,177
752,5,15,180
753,5,15,0
754,5,15,0
755,5,15,1903
756,5,15,17486
757,5,15,16693
758,5,15,6271
759,5,15,595
760,5,15,1974
761,5,15,134
762,5,15,510
763,5,15,565
764,5,15,61
765,5,15,260
766,5,15,2669
767,5,15,2342
768,5,15,1534
769,5,15,3501
770,5,15,3057
771,5,15,1630
772,5,15,10471
773,5,15,187
774,5,15,144
775,5,15,351
776,5,15,1481
777,5,15,452
778,5,15,444
779,5,15,1086
780,5,15,329
781,5,15,1145
782,5,15,977
783,5,15,1317
784,5,15,14480
785,5,15,3588
786,5,15,827
787,5,15,36
788,5,15,1539
789,5,15,271
790,5,15,806
791,5,15,2920
792,5,15,2114
793,5,15,405
794,5,15,31684
795,5,15,2676
796,5,15,481
797,5,15,11786
798,5,15,41355
799,5,15,7061
800,5,15,1209
801,5,15,6328
802,5,15,1267
803,5,15,320
804,5,15,291
805,5,15,2306
806,5,15,978
807,5,15,231
808,5,15,21
809,5,15,3283
810,5,15,72
811,5,15,709
812,5,15,253
813,5,15,877
814,5,15,554
815,5,15,1168
816,5,15,26
817,5,15,0
818,5,15,139
819,5,15,94
820,5,15,187
821,5,15,760
822,5,15,117
823,5,15,25070
824,5,15,3637
825,5,15,2592
826,5,15,113848
827,5,15,5679
828,5,15,1740
829,5,15,820
830,5,15,764
831,5,15,5110
832,5,15,315
833,5,15,654
834,5,15,8338
835,5,15,72
836,5,15,700
837,5,15,13151
838,5,15,13205
839,5,15,8189
840,5,15,1275
841,5,15,3618
842,5,15,530
843,5,15,4609
844,5,15,688
845,5,15,540
846,5,15,0
847,5,15,0
848,5,15,1708
849,5,15,0
850,5,15,2017
851,5,15,0
852,5,15,0
853,5,15,1678
854,5,15,540
855,5,15,13961
856,5,15,5485
857,5,15,148
858,5,15,823
859,5,15,136
860,5,15,87
861,5,15,1254
862,5,15,1747
863,5,15,242
864,5,15,291
865,5,15,1590
866,5,15,1765
867,5,15,238
868,5,15,88
869,5,15,99
870,5,15,369
871,5,15,71
872,5,15,2290
873,5,15,688
874,5,15,184
875,5,15,35
876,5,15,22
877,5,15,83
878,5,15,140
879,5,15,7023
880,5,15,28
881,5,15,468
882,5,15,35
883,5,15,149
884,5,15,982
885,5,15,32
886,5,15,47
887,5,15,416
888,5,15,193
889,5,15,1051
890,5,15,780
891,5,15,200
892,5,15,335
893,5,15,4923
894,5,15,431
895,5,15,72
896,5,15,4407
897,5,15,1500
898,5,15,11522
899,5,15,1299
900,5,15,3514
901,5,15,6656
902,5,15,1398
903,5,15,1844
904,5,15,2495
905,5,15,40
906,5,15,444
907,5,15,550
908,5,15,52
909,5,15,5482
910,5,15,614
911,5,15,629
912,5,15,2725
913,5,15,710
914,5,15,74
915,5,15,471
916,5,15,98
917,5,15,96
918,5,15,2508
919,5,15,5337
920,5,15,44244
921,5,15,2216
922,5,15,45
923,5,15,21
924,5,15,495
925,5,15,67
926,5,15,10971
927,5,15,6900
928,5,15,297
929,5,15,1603
930,5,15,146
931,5,15,839
932,5,15,3081
933,5,15,1629
934,5,15,11428
935,5,15,33812
936,5,15,1131
937,5,15,692
938,5,15,62
939,5,15,1489
940,5,15,157
941,5,15,908
942,5,15,4268
943,5,15,65
944,5,15,67
945,5,15,2346
946,5,15,5490
947,5,15,3714
948,5,15,1009
949,5,15,14338
950,5,15,316
951,5,15,4151
952,5,15,709
953,5,15,2009
954,5,15,317
955,5,15,139
956,5,15,3945
957,5,15,484
958,5,15,3420
959,5,15,2648
960,5,15,185
961,5,15,2718
962,5,15,1288
963,5,15,4385
964,5,15,1621
965,5,15,60
966,5,15,3
967,5,15,8100
968,5,15,1220
969,5,15,8075
970,5,15,3489
971,5,15,5206
972,5,15,2169
973,5,15,434
974,5,15,230
975,5,15,362
976,5,15,664
977,5,15,2311
978,5,15,1633
979,5,15,628
980,5,15,3744
981,5,15,0
982,5,15,1792
983,5,15,1574
984,5,15,386
985,5,15,1214
986,5,15,821
987,5,15,403
988,5,15,3876
989,5,15,220
