,State,Total Population,Total Below Poverty Level,Percentage Below Poverty Level,Year
425,Tennessee,1482119,330998,22.3,2018
426,Vermont,112933,13712,12.1,2018
427,Nevada,677441,120091,17.7,2018
428,West Virginia,353722,86713,24.5,2018
429,Oklahoma,936031,202779,21.7,2018
430,Wisconsin,1247282,175243,14.0,2018
431,Kansas,691389,103210,14.9,2018
432,Virginia,1840287,252475,13.7,2018
433,North Dakota,172631,17145,9.9,2018
434,New Jersey,1931396,264253,13.7,2018
435,Ohio,2540270,495616,19.5,2018
436,South Carolina,1088536,245821,22.6,2018
437,Georgia,2463436,504745,20.5,2018
438,Colorado,1254115,149487,11.9,2018
439,Hawaii,297248,35368,11.9,2018
440,South Dakota,208983,34201,16.4,2018
441,Indiana,1531482,275370,18.0,2018
442,Kentucky,980918,225710,23.0,2018
443,Louisiana,1082739,283218,26.2,2018
444,Washington,1634222,204470,12.5,2018
445,Illinois,2817981,456926,16.2,2018
446,Iowa,719504,97222,13.5,2018
447,New Hampshire,252085,26830,10.6,2018
448,Rhode Island,200202,36135,18.0,2018
449,Arkansas,690886,170769,24.7,2018
450,Delaware,198852,37283,18.7,2018
451,Minnesota,1279942,149502,11.7,2018
452,Montana,224806,35999,16.0,2018
453,Arizona,1616402,324622,20.1,2018
454,Florida,4163985,819256,19.7,2018
455,Massachusetts,1345037,163788,12.2,2018
456,District of Columbia,125590,29048,23.1,2018
457,Utah,919114,87445,9.5,2018
458,New York,3993286,743024,18.6,2018
459,Alabama,1068804,228412,21.4,2019
460,Alaska,175678,22921,13.0,2019
461,Arizona,1612619,308459,19.1,2019
462,Arkansas,685484,151448,22.1,2019
463,California,8728833,1363574,15.6,2019
464,Colorado,1238626,135405,10.9,2019
465,Connecticut,716121,101233,14.1,2019
466,Delaware,197150,32277,16.4,2019
467,District of Columbia,126313,23931,18.9,2019
468,Florida,4155155,737415,17.7,2019
469,Georgia,2462583,461456,18.7,2019
470,Hawaii,295071,36461,12.4,2019
471,Idaho,441454,58188,13.2,2019
472,Illinois,2771838,436327,15.7,2019
473,Indiana,1522694,230725,15.2,2019
474,Iowa,709897,92018,13.0,2019
475,Kansas,686510,101094,14.7,2019
476,Kentucky,976902,212130,21.7,2019
477,Louisiana,1068098,288732,27.0,2019
478,Maine,236723,32746,13.8,2019
479,Maryland,1306674,156992,12.0,2019
480,Massachusetts,1328584,154457,11.6,2019
481,Michigan,2105855,371020,17.6,2019
482,Minnesota,1277682,143006,11.2,2019
483,Mississippi,685080,192413,28.1,2019
484,Missouri,1339545,229336,17.1,2019
485,Montana,220375,32888,14.9,2019
486,Nebraska,462947,51085,11.0,2019
487,Nevada,678509,114886,16.9,2019
488,New Hampshire,249612,17609,7.1,2019
489,New Jersey,1913827,235470,12.3,2019
490,New Mexico,465341,115997,24.9,2019
491,New York,3928154,711686,18.1,2019
492,North Carolina,2253959,440230,19.5,2019
493,North Dakota,173950,17823,10.2,2019
494,Ohio,2527306,466168,18.4,2019
495,Oklahoma,935016,186392,19.9,2019
496,Oregon,842982,110323,13.1,2019
497,Pennsylvania,2578279,434904,16.9,2019
498,Rhode Island,200063,28009,14.0,2019
499,South Carolina,1087523,214772,19.7,2019
500,South Dakota,209778,31425,15.0,2019
501,Tennessee,1478841,290815,19.7,2019
502,Texas,7300287,1400918,19.2,2019
503,Utah,920337,91433,9.9,2019
504,Vermont,111164,11320,10.2,2019
505,Virginia,1825458,244953,13.4,2019
506,Washington,1631276,196520,12.0,2019
507,West Virginia,347481,69975,20.1,2019
508,Wisconsin,1240584,167605,13.5,2019
509,Wyoming,130431,15088,11.6,2019
