,State,Year,Data
425,Massachusetts,2005,14000
426,Massachusetts,2006,15000
427,Massachusetts,2007,20000
428,Massachusetts,2008,17000
429,Massachusetts,2013,11000
430,Massachusetts,2018,12000
431,Massachusetts,2009,16000
432,Massachusetts,2010,14000
433,Massachusetts,2015,9000
434,Massachusetts,2011,12000
435,Massachusetts,2012,11000
436,Massachusetts,2014,10000
437,Massachusetts,2017,12000
438,Massachusetts,2016,9000
439,Massachusetts,2019,10000
440,Michigan,2019,19000
441,Michigan,2016,26000
442,Michigan,2017,17000
443,Michigan,2014,21000
444,Michigan,2012,25000
445,Michigan,2011,30000
446,Michigan,2015,24000
447,Michigan,2010,30000
448,Michigan,2009,34000
449,Michigan,2018,22000
450,Michigan,2013,28000
451,Michigan,2008,37000
452,Michigan,2007,33000
453,Michigan,2006,36000
454,Michigan,2005,35000
455,Michigan,2003,33000
456,Michigan,2004,38000
457,Michigan,2002,40000
458,Michigan,2001,42000
459,Michigan,2000,51000
460,Minnesota,2000,20000
461,Minnesota,2001,12000
462,Minnesota,2002,15000
463,Minnesota,2004,13000
464,Minnesota,2003,18000
465,Minnesota,2005,11000
466,Minnesota,2006,12000
467,Minnesota,2007,9000
468,Minnesota,2008,8000
469,Minnesota,2013,10000
470,Minnesota,2018,9000
471,Minnesota,2009,11000
472,Minnesota,2010,11000
473,Minnesota,2015,8000
474,Minnesota,2011,10000
475,Minnesota,2012,9000
476,Minnesota,2014,8000
477,Minnesota,2017,9000
478,Minnesota,2016,9000
479,Minnesota,2019,9000
480,Mississippi,2019,10000
481,Mississippi,2016,8000
482,Mississippi,2017,9000
483,Mississippi,2014,9000
484,Mississippi,2012,12000
485,Mississippi,2011,11000
486,Mississippi,2015,9000
487,Mississippi,2010,16000
488,Mississippi,2009,14000
489,Mississippi,2018,10000
490,Mississippi,2013,11000
491,Mississippi,2008,14000
492,Mississippi,2007,16000
493,Mississippi,2006,19000
494,Mississippi,2005,14000
495,Mississippi,2004,16000
496,Mississippi,2003,17000
497,Mississippi,2002,19000
498,Mississippi,2001,24000
499,Mississippi,2000,25000
500,Missouri,2000,34000
501,Missouri,2001,34000
502,Missouri,2002,30000
503,Missouri,2003,23000
504,Missouri,2004,21000
505,Missouri,2005,23000
506,Missouri,2006,20000
507,Missouri,2007,25000
508,Missouri,2008,22000
509,Missouri,2013,14000
510,Missouri,2018,15000
511,Missouri,2009,24000
512,Missouri,2010,20000
513,Missouri,2015,15000
514,Missouri,2011,18000
515,Missouri,2012,18000
516,Missouri,2014,14000
517,Missouri,2017,13000
518,Missouri,2016,14000
519,Missouri,2019,14000
520,Montana,2019,3000
521,Montana,2017,3000
522,Montana,2016,2000
523,Montana,2014,3000
524,Montana,2012,3000
525,Montana,2011,4000
526,Montana,2015,3000
527,Montana,2010,4000
528,Montana,2009,5000
529,Montana,2018,4000
530,Montana,2013,3000
531,Montana,2008,5000
532,Montana,2007,4000
533,Montana,2006,5000
534,Montana,2005,4000
535,Montana,2004,5000
536,Montana,2003,5000
537,Montana,2002,4000
538,Montana,2001,4000
539,Montana,2000,3000
540,Nebraska,2000,6000
541,Nebraska,2001,7000
542,Nebraska,2002,7000
543,Nebraska,2003,7000
544,Nebraska,2004,5000
545,Nebraska,2005,5000
546,Nebraska,2006,6000
547,Nebraska,2007,4000
548,Nebraska,2008,5000
549,Nebraska,2013,2000
550,Nebraska,2018,3000
551,Nebraska,2009,5000
552,Nebraska,2010,3000
553,Nebraska,2015,3000
554,Nebraska,2011,3000
555,Nebraska,2012,4000
556,Nebraska,2014,3000
557,Nebraska,2016,2000
558,Nebraska,2017,3000
559,Nebraska,2019,3000
560,Nevada,2019,6000
561,Nevada,2017,7000
562,Nevada,2016,10000
563,Nevada,2014,6000
564,Nevada,2012,9000
565,Nevada,2011,10000
566,Nevada,2015,8000
567,Nevada,2010,13000
568,Nevada,2009,16000
569,Nevada,2018,8000
570,Nevada,2013,8000
571,Nevada,2008,13000
572,Nevada,2007,15000
573,Nevada,2006,13000
574,Nevada,2005,13000
575,Nevada,2004,12000
576,Nevada,2003,11000
577,Nevada,2002,13000
578,Nevada,2001,10000
579,Nevada,2000,14000
580,New Hampshire,2000,5000
581,New Hampshire,2001,3000
582,New Hampshire,2002,5000
583,New Hampshire,2003,4000
584,New Hampshire,2004,5000
585,New Hampshire,2005,4000
586,New Hampshire,2006,3000
587,New Hampshire,2007,3000
588,New Hampshire,2008,3000
589,New Hampshire,2013,1000
590,New Hampshire,2018,2000
591,New Hampshire,2009,2000
592,New Hampshire,2010,2000
593,New Hampshire,2015,1000
594,New Hampshire,2011,2000
595,New Hampshire,2012,2000
596,New Hampshire,2014,2000
597,New Hampshire,2016,2000
598,New Hampshire,2017,2000
599,New Hampshire,2019,3000
600,New Jersey,2019,8000
601,New Jersey,2017,12000
602,New Jersey,2016,12000
603,New Jersey,2014,12000
604,New Jersey,2012,12000
605,New Jersey,2011,15000
606,New Jersey,2015,11000
607,New Jersey,2010,19000
608,New Jersey,2009,16000
609,New Jersey,2018,10000
610,New Jersey,2013,13000
611,New Jersey,2008,18000
612,New Jersey,2007,22000
613,New Jersey,2006,22000
614,New Jersey,2005,25000
615,New Jersey,2004,22000
616,New Jersey,2003,15000
617,New Jersey,2002,16000
618,New Jersey,2001,19000
619,New Jersey,2000,29000
620,New Mexico,2000,17000
621,New Mexico,2001,11000
622,New Mexico,2002,16000
623,New Mexico,2003,10000
624,New Mexico,2004,14000
625,New Mexico,2005,11000
626,New Mexico,2006,12000
627,New Mexico,2007,10000
628,New Mexico,2008,11000
629,New Mexico,2013,7000
630,New Mexico,2018,8000
631,New Mexico,2009,11000
632,New Mexico,2010,12000
633,New Mexico,2015,9000
634,New Mexico,2011,10000
635,New Mexico,2012,10000
636,New Mexico,2014,8000
637,New Mexico,2016,8000
638,New Mexico,2017,8000
639,New Mexico,2019,7000
640,New York,2019,35000
641,New York,2017,33000
642,New York,2016,37000
643,New York,2014,41000
644,New York,2012,45000
