,Selected Geographies,Total,Not enrolled,Year
45,Texas,4234487,2955033,2017
46,Utah,567648,352547,2017
47,Vermont,81941,61041,2017
48,Virginia,1238530,822686,2017
49,Washington,1089561,811454,2017
50,West Virginia,248984,182472,2017
51,Wisconsin,826370,583889,2017
52,Wyoming,76236,56238,2017
0, -> Total,48916346,34265952,2018
1, -> Total -> Total No,48916346,34265952,2018
2,Alabama,766476,547649,2018
3,Alaska,115076,92530,2018
4,Arizona,1002185,682367,2018
5,Arkansas,433242,284697,2018
6,California,6150958,4078417,2018
7,Colorado,856857,629431,2018
8,Connecticut,545576,380786,2018
9,Delaware,135254,93491,2018
10,District of Columbia,149273,114138,2018
11,Florida,2861564,1961674,2018
12,Georgia,1573526,1210433,2018
13,Hawaii,181547,133783,2018
14,Idaho,237954,174258,2018
15,Illinois,2046166,1412469,2018
16,Indiana,1015015,683529,2018
17,Iowa,466349,323715,2018
18,Kansas,448727,300017,2018
19,Kentucky,654111,436118,2018
20,Louisiana,596719,420816,2018
21,Maine,187718,143622,2018
22,Maryland,1008567,593581,2018
23,Massachusetts,1109452,780725,2018
24,Michigan,1395703,1014732,2018
25,Minnesota,735171,544403,2018
26,Mississippi,401242,298419,2018
27,Missouri,854423,631739,2018
28,Montana,145140,107068,2018
29,Nebraska,298659,208709,2018
30,Nevada,498382,353462,2018
31,New Hampshire,157918,110566,2018
32,New Jersey,1368875,938893,2018
33,New Mexico,286689,193476,2018
34,New York,3194845,2254538,2018
35,North Carolina,1648069,1138713,2018
36,North Dakota,120775,86785,2018
37,Ohio,1528728,1098986,2018
38,Oklahoma,584978,490063,2018
39,Oregon,614966,451323,2018
40,Pennsylvania,1740304,1134132,2018
41,Rhode Island,146012,91762,2018
42,South Carolina,708456,551659,2018
43,South Dakota,123188,87631,2018
44,Tennessee,1105508,791737,2018
45,Texas,4795740,3375084,2018
46,Utah,552000,366754,2018
47,Vermont,98035,75337,2018
48,Virginia,1098479,815789,2018
49,Washington,1060758,811437,2018
50,West Virginia,230053,172903,2018
51,Wisconsin,798087,531689,2018
52,Wyoming,82851,59917,2018
0, -> Total,48790847,34699115,2019
1, -> Total -> Total No,48790847,34699115,2019
2,Alabama,692475,540557,2019
3,Alaska,107068,89308,2019
4,Arizona,1036422,774766,2019
5,Arkansas,450209,329671,2019
6,California,6431806,4398832,2019
7,Colorado,1036455,776741,2019
8,Connecticut,505733,327189,2019
9,Delaware,138806,115721,2019
10,District of Columbia,136631,104169,2019
11,Florida,2791620,1900664,2019
12,Georgia,1551710,1158177,2019
13,Hawaii,181227,137784,2019
14,Idaho,259833,195901,2019
15,Illinois,1847103,1192351,2019
16,Indiana,928594,707872,2019
17,Iowa,458969,299323,2019
18,Kansas,451073,346453,2019
19,Kentucky,668649,472778,2019
20,Louisiana,640038,482064,2019
21,Maine,170340,127197,2019
22,Maryland,969865,669327,2019
23,Massachusetts,1109952,751231,2019
24,Michigan,1407418,1052409,2019
25,Minnesota,874066,596117,2019
26,Mississippi,419414,324722,2019
27,Missouri,886795,666126,2019
28,Montana,132276,103844,2019
29,Nebraska,266506,207469,2019
30,Nevada,491959,366818,2019
31,New Hampshire,196396,151986,2019
32,New Jersey,1248129,851817,2019
33,New Mexico,296891,195007,2019
34,New York,3036280,2115798,2019
35,North Carolina,1564873,1186831,2019
36,North Dakota,129191,94297,2019
37,Ohio,1799088,1226130,2019
38,Oklahoma,541278,441979,2019
39,Oregon,651747,469488,2019
40,Pennsylvania,1915163,1322407,2019
41,Rhode Island,161692,90646,2019
42,South Carolina,657943,438957,2019
43,South Dakota,108623,83359,2019
44,Tennessee,1043516,809892,2019
45,Texas,4496502,3187987,2019
46,Utah,599932,456208,2019
47,Vermont,90793,71460,2019
48,Virginia,1099633,790629,2019
49,Washington,929409,684477,2019
50,West Virginia,238214,186714,2019
51,Wisconsin,855676,555575,2019
52,Wyoming,86866,71890,2019
