State,Year,Total Federal Revenue
Utah,2012,432223
Utah,2013,383169
Utah,2014,351957
Utah,2015,362959
Utah,2016,358068
Utah,2017,403856
Vermont,2009,1258519
Vermont,2010,1115342
Vermont,2011,1002909
Vermont,2012,907311
Vermont,2013,827432
Vermont,2014,830568
Vermont,2015,814385
Vermont,2016,782610
Vermont,2017,802599
Virginia,2009,108333
Virginia,2010,123942
Virginia,2011,154955
Virginia,2012,144728
Virginia,2013,113501
Virginia,2014,112709
Virginia,2015,120290
Virginia,2016,123012
Virginia,2017,117807
