,State,Year,Total Federal Revenue,Total State Revenue,Employed per 1k,% Employed,Teacher Pay,Pop. Below Poverty Level,Percent of Pop. Below Poverty Level,Grdn Bachelor Degree+,Grdn HS Diploma or GED,Grdn No HS Diploma,Grdn Some College,Student/Teacher Ratio,Teen Preg. Rate (State),Dropouts,Food Insecurity Rate,Child food insecurity rate
78,District of Columbia,2015,1831221.0,8310872.0,,,75810.0,29729.0,25.6,315.0,95.0,68.0,78.0,12.38,25.6,1000.0,0.127,0.237
79,District of Columbia,2016,1807371.0,8771192.0,,,76131.0,30551.0,25.8,318.0,109.0,63.0,82.0,12.76,24.0,,0.11900000000000001,0.21600000000000003
80,District of Columbia,2017,1846441.0,9212433.0,,,76486.0,31618.0,25.6,327.0,114.0,54.0,84.0,13.11,21.0,1000.0,0.114,0.21100000000000002
82,Florida,2010,382400.0,2093300.0,183.0,20.1,46702.0,923963.0,23.5,3910.0,4445.0,2439.0,4239.0,15.05,32.0,58000.0,0.17788059701492534,0.2659999999999999
83,Florida,2011,347363.0,2088870.0,160.0,18.2,46232.0,980002.0,24.9,4092.0,4617.0,2370.0,4425.0,15.25,29.5,56000.0,0.16361194029850754,0.2591492537313433
84,Florida,2012,318728.0,2161254.0,186.0,20.8,46944.0,1000736.0,25.4,4100.0,4669.0,2420.0,4521.0,15.25,28.0,48000.0,0.16243283582089546,0.26052238805970157
85,Florida,2013,310778.0,1962923.0,225.0,24.8,46691.0,968765.0,24.5,4297.0,4660.0,2403.0,4542.0,15.3,24.6,48000.0,0.16538805970149253,0.26488059701492556
86,Florida,2014,286988.0,2354601.0,210.0,23.4,48992.0,948465.0,23.8,4311.0,4820.0,2267.0,4676.0,15.28,22.5,47000.0,0.16491044776119407,0.25950746268656716
87,Florida,2015,259390.0,2381547.0,240.0,24.2,49199.0,931601.0,23.1,4315.0,5158.0,2559.0,4356.0,15.29,20.8,49000.0,0.16226865671641796,0.2385820895522388
88,Florida,2016,261131.0,2710361.0,228.0,22.5,49407.0,858711.0,21.0,4392.0,5025.0,2504.0,4763.0,15.12,19.3,45000.0,0.1550746268656716,0.22307462686567175
89,Florida,2017,252145.0,2534177.0,251.0,25.5,47721.0,840179.0,20.3,4860.0,5003.0,2356.0,4911.0,15.22,18.2,47000.0,0.1464179104477612,0.21474626865671637
91,Georgia,2010,444112.0,1231537.0,88.0,15.9,53906.0,610722.0,24.8,1944.0,2244.0,1448.0,1871.0,14.91,41.4,43000.0,0.1951698113207548,0.2819056603773584
92,Georgia,2011,292602.0,1320153.0,104.0,19.0,52938.0,646824.0,26.3,1921.0,2188.0,1397.0,2096.0,15.16,38.2,40000.0,0.18544025157232696,0.28115094339622637
93,Georgia,2012,266087.0,1238989.0,115.0,20.2,52880.0,672040.0,27.2,2092.0,2164.0,1355.0,1982.0,15.57,33.8,34000.0,0.18282389937106913,0.2855974842767296
94,Georgia,2013,237912.0,1278155.0,103.0,19.1,52924.0,650910.0,26.5,2080.0,2165.0,1307.0,2011.0,15.75,30.5,33000.0,0.18477358490566032,0.2937358490566037
